Gene_id	{KEGG}	{SwissProt}	{IPR}	{GO}
Belnapia_sp.F-4-1GL001678	{K03496  parA, soj  chromosome partitioning protein  --  Genetic Information Processing; Replication and Repair; Chromosome [BR:ko03036] Cellular Processes; Cell Motility; Cytoskeleton proteins [BR:ko04812]}	{PARA_CAUCR Chromosome partitioning protein ParA OS=Caulobacter crescentus (strain ATCC 19089 / CB15) GN=parA PE=3 SV=1}	{IPR002586; CobQ/CobB/MinD/ParA nucleotide binding domain}	{NA}
Belnapia_sp.F-4-1GL001679	{K03497  parB, spo0J  chromosome partitioning protein, ParB family  --  Genetic Information Processing; Transcription; Transcription factors [BR:ko03000] Genetic Information Processing; Replication and Repair; Chromosome [BR:ko03036] Cellular Processes; Cell Motility; Cytoskeleton proteins [BR:ko04812]}	{PARB_CAUCR Chromosome-partitioning protein parB OS=Caulobacter crescentus (strain ATCC 19089 / CB15) GN=parB PE=1 SV=1}	{IPR003115; ParB-like nuclease  IPR004437; ParB-like partition protein}	{GO:0003677; DNA binding; Molecular Function}
Belnapia_sp.F-4-1GL001680	{K02340  DPO3D1, holA  DNA polymerase III subunit delta  2.7.7.7  Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230] Metabolism; Nucleotide Metabolism; Pyrimidine metabolism [PATH:ko00240] Genetic Information Processing; Replication and Repair; DNA replication [PATH:ko03030] Genetic Information Processing; Replication and Repair; DNA replication proteins [BR:ko03032] Genetic Information Processing; Replication and Repair; Mismatch repair [PATH:ko03430] Genetic Information Processing; Replication and Repair; Homologous recombination [PATH:ko03440] Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{NA}	{IPR005790; DNA polymerase III, delta subunit  IPR008921; DNA polymerase III, clamp loader complex, gamma/delta/delta subunit, C-terminal  IPR010372; DNA polymerase III, delta}	{GO:0003677; DNA binding; Molecular Function  GO:0003887; DNA-directed DNA polymerase activity; Molecular Function  GO:0006260; DNA replication; Biological Process  GO:0009360; DNA polymerase III complex; Cellular Component}
Belnapia_sp.F-4-1GL001681	{NA}	{NA}	{IPR007485; Lipopolysccharide assembly, LptE}	{GO:0016044; cellular membrane organization; Biological Process  GO:0043165; Gram-negative-bacterium-type cell outer membrane assembly; Biological Process}
Belnapia_sp.F-4-1GL001682	{K01869  LARS, leuS  leucyl-tRNA synthetase  6.1.1.4  Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine biosynthesis [PATH:ko00290] Metabolism; Amino Acid Metabolism; Amino acid related enzymes [BR:ko01007] Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis [PATH:ko00970]}	{SYL_GRABC Leucine--tRNA ligase OS=Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1) GN=leuS PE=3 SV=1}	{IPR001412; Aminoacyl-tRNA synthetase, class I, conserved site  IPR002300; Aminoacyl-tRNA synthetase, class Ia  IPR002302; Leucyl-tRNA synthetase, class Ia, bacterial/mitochondrial  IPR009008; Valyl/Leucyl/Isoleucyl-tRNA synthetase, class Ia, editing domain  IPR009080; Aminoacyl-tRNA synthetase, class 1a, anticodon-binding  IPR013155; Valyl/Leucyl/Isoleucyl-tRNA synthetase, class I, anticodon-binding  IPR014729; Rossmann-like alpha/beta/alpha sandwich fold}	{GO:0000166; nucleotide binding; Molecular Function  GO:0004812; aminoacyl-tRNA ligase activity; Molecular Function  GO:0004823; leucine-tRNA ligase activity; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0005737; cytoplasm; Cellular Component  GO:0006418; tRNA aminoacylation for protein translation; Biological Process  GO:0006429; leucyl-tRNA aminoacylation; Biological Process}
Belnapia_sp.F-4-1GL001683	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001684	{K03519  E1.2.99.2M, cutM, coxM  carbon-monoxide dehydrogenase medium subunit  1.2.99.2  Metabolism; Energy Metabolism; Methane metabolism [PATH:ko00680] Metabolism; Xenobiotics Biodegradation and Metabolism; Nitrotoluene degradation [PATH:ko00633]}	{NA}	{IPR002346; Molybdopterin dehydrogenase, FAD-binding  IPR005107; CO dehydrogenase flavoprotein, C-terminal  IPR016166; FAD-binding, type 2  IPR016167; FAD-binding, type 2, subdomain 1  IPR016169; CO dehydrogenase flavoprotein-like, FAD-binding, subdomain 2}	{GO:0003824; catalytic activity; Molecular Function  GO:0008762; UDP-N-acetylmuramate dehydrogenase activity; Molecular Function  GO:0016491; oxidoreductase activity; Molecular Function  GO:0016614; oxidoreductase activity, acting on CH-OH group of donors; Molecular Function  GO:0050660; flavin adenine dinucleotide binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001685	{K03520  E1.2.99.2L, cutL, coxL  carbon-monoxide dehydrogenase large subunit  1.2.99.2  Metabolism; Energy Metabolism; Methane metabolism [PATH:ko00680] Metabolism; Xenobiotics Biodegradation and Metabolism; Nitrotoluene degradation [PATH:ko00633]}	{NA}	{IPR000674; Aldehyde oxidase/xanthine dehydrogenase, a/b hammerhead  IPR008274; Aldehyde oxidase/xanthine dehydrogenase, molybdopterin binding}	{GO:0016491; oxidoreductase activity; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001686	{K03518  E1.2.99.2S, coxS  carbon-monoxide dehydrogenase small subunit  1.2.99.2  Metabolism; Energy Metabolism; Methane metabolism [PATH:ko00680] Metabolism; Xenobiotics Biodegradation and Metabolism; Nitrotoluene degradation [PATH:ko00633]}	{DCMS_OLICO Carbon monoxide dehydrogenase small chain OS=Oligotropha carboxidovorans (strain ATCC 49405 / DSM 1227 / OM5) GN=coxS PE=1 SV=2}	{IPR001041; 2Fe-2S ferredoxin-type domain  IPR002888; [2Fe-2S]-binding  IPR006058; 2Fe-2S ferredoxin, iron-sulphur binding site  IPR012675; Beta-grasp domain}	{GO:0009055; electron carrier activity; Molecular Function  GO:0016491; oxidoreductase activity; Molecular Function  GO:0046872; metal ion binding; Molecular Function  GO:0051536; iron-sulfur cluster binding; Molecular Function  GO:0051537; 2 iron, 2 sulfur cluster binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001687	{NA}	{NA}	{IPR021959; Protein of unknown function DUF3576}	{NA}
Belnapia_sp.F-4-1GL001688	{NA}	{NA}	{IPR023614; Porin domain}	{NA}
Belnapia_sp.F-4-1GL001689	{K06997  K06997  --  --  Unclassified; Poorly Characterized; General function prediction only}	{Y274_AQUAE UPF0001 protein aq_274 OS=Aquifex aeolicus (strain VF5) GN=aq_274 PE=3 SV=1}	{IPR001608; Alanine racemase, N-terminal  IPR011078; Uncharacterised protein family UPF0001}	{NA}
Belnapia_sp.F-4-1GL001690	{K00788  thiE  thiamine-phosphate pyrophosphorylase  2.5.1.3  Metabolism; Metabolism of Cofactors and Vitamins; Thiamine metabolism [PATH:ko00730]}	{NA}	{IPR003733; Thiamine monophosphate synthase  IPR013785; Aldolase-type TIM barrel  IPR022998; Thiamin phosphate synthase superfamily}	{GO:0003824; catalytic activity; Molecular Function  GO:0004789; thiamine-phosphate diphosphorylase activity; Molecular Function  GO:0009228; thiamine biosynthetic process; Biological Process}
Belnapia_sp.F-4-1GL001691	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001692	{NA}	{NA}	{IPR005490; L,D-transpeptidase catalytic domain}	{GO:0016740; transferase activity; Molecular Function}
Belnapia_sp.F-4-1GL001693	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001694	{K14652  ribBA  3,4-dihydroxy 2-butanone 4-phosphate synthase / GTP cyclohydrolase II  4.1.99.12 3.5.4.25  Metabolism; Metabolism of Cofactors and Vitamins; Riboflavin metabolism [PATH:ko00740]}	{RIBA_AZOBR GTP cyclohydrolase-2 OS=Azospirillum brasilense GN=ribA PE=3 SV=1}	{IPR000926; GTP cyclohydrolase II, RibA}	{GO:0003935; GTP cyclohydrolase II activity; Molecular Function  GO:0009231; riboflavin biosynthetic process; Biological Process}
Belnapia_sp.F-4-1GL001695	{K07776  regX3  two-component system, OmpR family, response regulator RegX3  --  Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020] Environmental Information Processing; Signal Transduction; Two-component system [BR:ko02022]}	{REGX3_MYCLE Sensory transduction protein regX3 OS=Mycobacterium leprae GN=rgx3 PE=3 SV=1}	{IPR001789; Signal transduction response regulator, receiver domain  IPR001867; Signal transduction response regulator, C-terminal  IPR011006; CheY-like superfamily  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding}	{GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0003677; DNA binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL001696	{K09019  rutE  putative NADH dehydrogenase/NAD(P)H nitroreductase RutE  1.-.-.-  Unclassified; Metabolism; Energy metabolism}	{Y1060_BURS3 Putative NADH dehydrogenase/NAD(P)H nitroreductase Bcep18194_B1060 OS=Burkholderia sp. (strain 383) GN=Bcep18194_B1060 PE=3 SV=1}	{IPR000415; Nitroreductase-like  IPR023936; NADH dehydrogenase/NAD(P)H nitroreductase, putative, RutE}	{GO:0016491; oxidoreductase activity; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001697	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001698	{NA}	{NFU1_DROAN NFU1 iron-sulfur cluster scaffold homolog, mitochondrial OS=Drosophila ananassae GN=GF20932 PE=3 SV=1}	{IPR001075; NIF system FeS cluster assembly, NifU, C-terminal  IPR014824; NIF system FeS cluster assembly, NifU-like scaffold, N-terminal  IPR017065; HIRA-interacting protein 5}	{GO:0005506; iron ion binding; Molecular Function  GO:0016226; iron-sulfur cluster assembly; Biological Process  GO:0051536; iron-sulfur cluster binding; Molecular Function}
Belnapia_sp.F-4-1GL001699	{NA}	{NA}	{IPR007197; Radical SAM  IPR017833; Hopanoid biosynthesis associated radical SAM protein HpnH  IPR022563; Domain of unknown function DUF3463}	{GO:0003824; catalytic activity; Molecular Function  GO:0051536; iron-sulfur cluster binding; Molecular Function}
Belnapia_sp.F-4-1GL001700	{K03527  E1.17.1.2, lytB, ispH  4-hydroxy-3-methylbut-2-enyl diphosphate reductase  1.17.1.2  Metabolism; Metabolism of Terpenoids and Polyketides; Terpenoid backbone biosynthesis [PATH:ko00900]}	{ISPH2_BURPS 4-hydroxy-3-methylbut-2-enyl diphosphate reductase 2 OS=Burkholderia pseudomallei (strain K96243) GN=ispH2 PE=3 SV=2}	{IPR003451; LytB protein}	{GO:0019288; isopentenyl diphosphate biosynthetic process, mevalonate-independent pathway; Biological Process  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001701	{K07156  pcoC  --  --  Unclassified; Poorly Characterized; General function prediction only}	{NA}	{IPR006311; Twin-arginine translocation pathway, signal sequence  IPR007348; CopC domain  IPR014755; Copper resistance protein CopC/internalin, immunoglobulin-like  IPR014756; Immunoglobulin E-set}	{GO:0005507; copper ion binding; Molecular Function  GO:0042597; periplasmic space; Cellular Component  GO:0046688; response to copper ion; Biological Process}
Belnapia_sp.F-4-1GL001702	{K07245  pcoD  putative copper resistance protein D  --  Unclassified; Cellular Processes and Signaling; Other transporters}	{NA}	{IPR008457; Copper resistance D}	{GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL001703	{K07003  K07003  --  --  Unclassified; Poorly Characterized; General function prediction only}	{NA}	{IPR000731; Sterol-sensing domain  IPR004869; Membrane transport protein, MMPL type  IPR017841; Hopanoid biosynthesis associated RND transporter-like protein HpnN}	{GO:0016020; membrane; Cellular Component  GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL001704	{K03980  mviN  virulence factor  --  Metabolism; Glycan Biosynthesis and Metabolism; Peptidoglycan biosynthesis [PATH:ko00550]}	{MURJ_RHITR Protein MurJ homolog OS=Rhizobium tropici GN=murJ PE=3 SV=1}	{IPR004268; Flagellin assembly, membrane protein MviN}	{NA}
Belnapia_sp.F-4-1GL001705	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001706	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001707	{K03406  mcp  methyl-accepting chemotaxis protein  --  Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020] Cellular Processes; Cell Motility; Bacterial chemotaxis [PATH:ko02030] Cellular Processes; Cell Motility; Bacterial motility proteins [BR:ko02035]}	{NA}	{IPR003660; HAMP linker domain  IPR004089; Methyl-accepting chemotaxis protein (MCP) signalling domain  IPR004090; Chemotaxis methyl-accepting receptor  IPR024478; 4HB MCP domain}	{GO:0004871; signal transducer activity; Molecular Function  GO:0006935; chemotaxis; Biological Process  GO:0007165; signal transduction; Biological Process  GO:0016020; membrane; Cellular Component  GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL001708	{K03281  TC.CIC  chloride channel protein, CIC family  --  Unclassified; Cellular Processes and Signaling; Pores ion channels}	{NA}	{IPR001807; Chloride channel, voltage gated  IPR014743; Chloride channel, core}	{GO:0005216; ion channel activity; Molecular Function  GO:0005247; voltage-gated chloride channel activity; Molecular Function  GO:0006821; chloride transport; Biological Process  GO:0016020; membrane; Cellular Component  GO:0055085; transmembrane transport; Biological Process}
Belnapia_sp.F-4-1GL001709	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001710	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001711	{K00990  glnD  [protein-PII] uridylyltransferase  2.7.7.59  Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020]}	{GLND_GLUOX [Protein-PII] uridylyltransferase OS=Gluconobacter oxydans (strain 621H) GN=glnD PE=3 SV=1}	{IPR002912; Amino acid-binding ACT  IPR002934; Nucleotidyl transferase domain  IPR003607; Metal-dependent phosphohydrolase, HD domain  IPR006674; Metal-dependent phosphohydrolase, HD subdomain  IPR010043; Protein-PII uridylyltransferase  IPR013546; PII-uridylyltransferase/Glutamine-synthetase adenylyltransferase  IPR023279; HD domain}	{GO:0003824; catalytic activity; Molecular Function  GO:0006807; nitrogen compound metabolic process; Biological Process  GO:0008081; phosphoric diester hydrolase activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0008773; [protein-PII] uridylyltransferase activity; Molecular Function  GO:0016597; amino acid binding; Molecular Function  GO:0016779; nucleotidyltransferase activity; Molecular Function  GO:0046872; metal ion binding; Molecular Function}
Belnapia_sp.F-4-1GL001712	{K03555  mutS  DNA mismatch repair protein MutS  --  Genetic Information Processing; Replication and Repair; Mismatch repair [PATH:ko03430] Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{MUTS_GRABC DNA mismatch repair protein MutS OS=Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1) GN=mutS PE=3 SV=1}	{IPR000432; DNA mismatch repair protein MutS, C-terminal  IPR005748; DNA mismatch repair protein MutS, type 1  IPR007695; DNA mismatch repair protein MutS-like, N-terminal  IPR007696; DNA mismatch repair protein MutS, core  IPR007860; DNA mismatch repair protein MutS, connector  IPR007861; DNA mismatch repair protein MutS, clamp  IPR016151; DNA mismatch repair protein MutS, N-terminal}	{GO:0005524; ATP binding; Molecular Function  GO:0006298; mismatch repair; Biological Process  GO:0030983; mismatched DNA binding; Molecular Function}
Belnapia_sp.F-4-1GL001713	{K00029  E1.1.1.40, maeB  malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)  1.1.1.40  Metabolism; Carbohydrate Metabolism; Pyruvate metabolism [PATH:ko00620] Metabolism; Energy Metabolism; Carbon fixation in photosynthetic organisms [PATH:ko00710]}	{MAO2_RHIME NADP-dependent malic enzyme OS=Rhizobium meliloti (strain 1021) GN=tme PE=1 SV=2}	{IPR002505; Phosphate acetyl/butaryl transferase  IPR012188; Malic enzyme, phosphate acetyl/butaryl transferase  IPR012301; Malic enzyme, N-terminal  IPR012302; Malic enzyme, NAD-binding  IPR015884; Malic enzyme, conserved site  IPR016040; NAD(P)-binding domain}	{GO:0000166; nucleotide binding; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function  GO:0016616; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; Molecular Function  GO:0016746; transferase activity, transferring acyl groups; Molecular Function  GO:0046872; metal ion binding; Molecular Function  GO:0051287; NAD binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001714	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001715	{NA}	{NA}	{IPR007438; Protein of unknown function DUF488  IPR014519; Uncharacterised conserved protein UCP024492}	{NA}
Belnapia_sp.F-4-1GL001716	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001717	{K13038  coaBC, dfp  phosphopantothenoylcysteine decarboxylase / phosphopantothenate--cysteine ligase  4.1.1.36 6.3.2.5  Metabolism; Metabolism of Cofactors and Vitamins; Pantothenate and CoA biosynthesis [PATH:ko00770]}	{COABC_HAEIN Coenzyme A biosynthesis bifunctional protein CoaBC OS=Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd) GN=coaBC PE=3 SV=1}	{IPR003382; Flavoprotein  IPR005252; Bifunctional phosphopantothenoylcysteine decarboxylase/phosphopantothenate--cysteine ligase  IPR007085; DNA/pantothenate metabolism flavoprotein, C-terminal}	{GO:0003824; catalytic activity; Molecular Function  GO:0004632; phosphopantothenate--cysteine ligase activity; Molecular Function  GO:0004633; phosphopantothenoylcysteine decarboxylase activity; Molecular Function  GO:0010181; FMN binding; Molecular Function  GO:0015937; coenzyme A biosynthetic process; Biological Process  GO:0015941; pantothenate catabolic process; Biological Process}
Belnapia_sp.F-4-1GL001718	{K03119  E1.14.11.17, tauD  taurine dioxygenase  1.14.11.17  Metabolism; Metabolism of Other Amino Acids; Taurine and hypotaurine metabolism [PATH:ko00430]}	{TAUD_ECOLI Alpha-ketoglutarate-dependent taurine dioxygenase OS=Escherichia coli (strain K12) GN=tauD PE=1 SV=3}	{IPR003819; Taurine catabolism dioxygenase TauD/TfdA}	{GO:0016491; oxidoreductase activity; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001719	{K02483  K02483  two-component system, OmpR family, response regulator  --  Environmental Information Processing; Signal Transduction; Two-component system [BR:ko02022]}	{NA}	{IPR001789; Signal transduction response regulator, receiver domain  IPR011006; CheY-like superfamily}	{GO:0000156; two-component response regulator activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL001720	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001721	{K08683  HSD17B10  3-hydroxyacyl-CoA dehydrogenase / 3-hydroxy-2-methylbutyryl-CoA dehydrogenase  1.1.1.35 1.1.1.178  Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine degradation [PATH:ko00280] Human Diseases; Neurodegenerative Diseases; Alzheimer's disease [PATH:ko05010]}	{Y1144_MYCTU Uncharacterized oxidoreductase Rv1144/MT1177 OS=Mycobacterium tuberculosis GN=Rv1144 PE=3 SV=1}	{IPR002198; Short-chain dehydrogenase/reductase SDR  IPR002347; Glucose/ribitol dehydrogenase  IPR016040; NAD(P)-binding domain  IPR020904; Short-chain dehydrogenase/reductase, conserved site}	{GO:0000166; nucleotide binding; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function}
Belnapia_sp.F-4-1GL001722	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001723	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001724	{NA}	{NA}	{IPR011727; Conserved hypothetical protein CHP02117}	{NA}
Belnapia_sp.F-4-1GL001725	{NA}	{NA}	{IPR000014; PAS  IPR000700; PAS-associated, C-terminal  IPR001610; PAC motif  IPR003594; ATPase-like, ATP-binding domain  IPR011102; Signal transduction histidine kinase, HWE region  IPR013655; PAS fold-3}	{GO:0000155; two-component sensor activity; Molecular Function  GO:0000160; two-component signal transduction system (phosphorelay); Biological Process  GO:0004673; protein histidine kinase activity; Molecular Function  GO:0004871; signal transducer activity; Molecular Function  GO:0005515; protein binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process  GO:0007165; signal transduction; Biological Process}
Belnapia_sp.F-4-1GL001726	{K00100  E1.1.1.-  --  --  Metabolism; Carbohydrate Metabolism; Fructose and mannose metabolism [PATH:ko00051] Metabolism; Carbohydrate Metabolism; Butanoate metabolism [PATH:ko00650] Metabolism; Lipid Metabolism; Linoleic acid metabolism [PATH:ko00591] Metabolism; Xenobiotics Biodegradation and Metabolism; Chloroalkane and chloroalkene degradation [PATH:ko00625] Metabolism; Xenobiotics Biodegradation and Metabolism; Bisphenol degradation [PATH:ko00363]}	{SNDH_ACELI L-sorbosone dehydrogenase OS=Acetobacter liquefaciens PE=4 SV=1}	{IPR011041; Soluble quinoprotein glucose/sorbosone dehydrogenase  IPR011042; Six-bladed beta-propeller, TolB-like  IPR012938; Glucose/Sorbosone dehydrogenase}	{GO:0003824; catalytic activity; Molecular Function  GO:0005975; carbohydrate metabolic process; Biological Process  GO:0016901; oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor; Molecular Function  GO:0048038; quinone binding; Molecular Function}
Belnapia_sp.F-4-1GL001727	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001728	{NA}	{NA}	{IPR001343; Haemolysin-type calcium-binding repeat  IPR011049; Serralysin-like metalloprotease, C-terminal}	{GO:0005509; calcium ion binding; Molecular Function}
Belnapia_sp.F-4-1GL001729	{NA}	{NA}	{IPR001343; Haemolysin-type calcium-binding repeat  IPR011049; Serralysin-like metalloprotease, C-terminal  IPR018511; Hemolysin-type calcium-binding conserved site}	{GO:0005509; calcium ion binding; Molecular Function}
Belnapia_sp.F-4-1GL001730	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL001731	{K00799  E2.5.1.18, gst  glutathione S-transferase  2.5.1.18  Metabolism; Metabolism of Other Amino Acids; Glutathione metabolism [PATH:ko00480] Metabolism; Xenobiotics Biodegradation and Metabolism; Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980] Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450 [PATH:ko00982]}	{YFCG_ECOLI Probable disulfide bond reductase yfcG OS=Escherichia coli (strain K12) GN=yfcG PE=1 SV=1}	{IPR004045; Glutathione S-transferase, N-terminal  IPR004046; Glutathione S-transferase, C-terminal  IPR010987; Glutathione S-transferase, C-terminal-like  IPR012336; Thioredoxin-like fold  IPR017933; Glutathione S-transferase/chloride channel, C-terminal}	{GO:0005515; protein binding; Molecular Function}
Belnapia_sp.F-4-1GL001732	{K03530  hupB  DNA-binding protein HU-beta  --  Genetic Information Processing; Replication and Repair; DNA replication proteins [BR:ko03032] Genetic Information Processing; Replication and Repair; Chromosome [BR:ko03036] Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{DBH1_STRLI DNA-binding protein HU 1 OS=Streptomyces lividans GN=hup1 PE=3 SV=1}	{IPR000119; Histone-like bacterial DNA-binding protein  IPR010992; IHF-like DNA-binding  IPR023630; DNA-binding protein HU/Integration host factor}	{GO:0003677; DNA binding; Molecular Function}
Belnapia_sp.F-4-1GL001733	{K00799  E2.5.1.18, gst  glutathione S-transferase  2.5.1.18  Metabolism; Metabolism of Other Amino Acids; Glutathione metabolism [PATH:ko00480] Metabolism; Xenobiotics Biodegradation and Metabolism; Metabolism of xenobiotics by cytochrome P450 [PATH:ko00980] Metabolism; Xenobiotics Biodegradation and Metabolism; Drug metabolism - cytochrome P450 [PATH:ko00982]}	{NA}	{IPR004045; Glutathione S-transferase, N-terminal  IPR010987; Glutathione S-transferase, C-terminal-like  IPR012336; Thioredoxin-like fold  IPR017933; Glutathione S-transferase/chloride channel, C-terminal}	{GO:0005515; protein binding; Molecular Function}
Belnapia_sp.F-4-1GL001734	{NA}	{NA}	{IPR002740; EVE domain  IPR015947; PUA-like domain}	{NA}
Belnapia_sp.F-4-1GL001735	{NA}	{NA}	{IPR006913; Glutathione-dependent formaldehyde-activating enzyme/centromere protein V  IPR011057; Mss4-like}	{GO:0008152; metabolic process; Biological Process  GO:0016846; carbon-sulfur lyase activity; Molecular Function}
Belnapia_sp.F-4-1GL001736	{NA}	{NA}	{IPR017941; Rieske [2Fe-2S] iron-sulphur domain}	{GO:0016491; oxidoreductase activity; Molecular Function  GO:0051537; 2 iron, 2 sulfur cluster binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL001737	{K01895  ACSS, acs  acetyl-CoA synthetase  6.2.1.1  Metabolism; Carbohydrate Metabolism; Glycolysis / Gluconeogenesis [PATH:ko00010] Metabolism; Carbohydrate Metabolism; Pyruvate metabolism [PATH:ko00620] Metabolism; Carbohydrate Metabolism; Propanoate metabolism [PATH:ko00640] Metabolism; Energy Metabolism; Carbon fixation pathways in prokaryotes [PATH:ko00720] Metabolism; Energy Metabolism; Methane metabolism [PATH:ko00680] Metabolism; Lipid Metabolism; Lipid biosynthesis proteins [BR:ko01004]}	{ACSA_PARL1 Acetyl-coenzyme A synthetase OS=Parvibaculum lavamentivorans (strain DS-1 / DSM 13023 / NCIMB 13966) GN=acsA PE=3 SV=1}	{IPR000873; AMP-dependent synthetase/ligase  IPR011904; Acetate-CoA ligase  IPR020845; AMP-binding, conserved site  IPR024597; Acyl-CoA synthase, domain of unknown function DUF3448  IPR025110; Domain of unknown function DUF4009}	{GO:0003824; catalytic activity; Molecular Function  GO:0003987; acetate-CoA ligase activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016208; AMP binding; Molecular Function}
Belnapia_sp.F-4-1GL001738	{NA}	{NA}	{IPR012875; Protein of unknown function DUF1674}	{NA}
Belnapia_sp.F-4-1GL001739	{K03799  htpX  heat shock protein HtpX  3.4.24.-  Metabolism; Enzyme Families; Peptidases [BR:ko01002]}	{HTPX_RHOS4 Protease HtpX homolog OS=Rhodobacter sphaeroides (strain ATCC 17023 / 2.4.1 / NCIB 8253 / DSM 158) GN=htpX PE=3 SV=1}	{IPR001915; Peptidase M48  IPR022919; Peptidase M48, protease HtpX, putative}	{GO:0004222; metalloendopeptidase activity; Molecular Function  GO:0006508; proteolysis; Biological Process  GO:0016020; membrane; Cellular Component}
